"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-04-05,"Abril",2022,"Sevicios Temporales","gratuidad",1977
2022-04-06,"Abril",2022,"Sevicios Temporales","boleto",9637
2022-04-06,"Abril",2022,"Sevicios Temporales","prepago",178
2022-04-06,"Abril",2022,"Sevicios Temporales","gratuidad",2232
2022-04-07,"Abril",2022,"Sevicios Temporales","boleto",8661
2022-04-07,"Abril",2022,"Sevicios Temporales","prepago",124
2022-04-07,"Abril",2022,"Sevicios Temporales","gratuidad",2005
2022-04-08,"Abril",2022,"Sevicios Temporales","boleto",18389
2022-04-08,"Abril",2022,"Sevicios Temporales","prepago",664
2022-04-08,"Abril",2022,"Sevicios Temporales","gratuidad",4258
2022-04-09,"Abril",2022,"Sevicios Temporales","boleto",11476
2022-04-09,"Abril",2022,"Sevicios Temporales","prepago",390
2022-04-09,"Abril",2022,"Sevicios Temporales","gratuidad",2657
2022-04-10,"Abril",2022,"Sevicios Temporales","boleto",7754
2022-04-10,"Abril",2022,"Sevicios Temporales","prepago",258
2022-04-10,"Abril",2022,"Sevicios Temporales","gratuidad",1794
2022-04-11,"Abril",2022,"Sevicios Temporales","boleto",16553
2022-04-11,"Abril",2022,"Sevicios Temporales","prepago",708
2022-04-11,"Abril",2022,"Sevicios Temporales","gratuidad",3833
2022-04-12,"Abril",2022,"Sevicios Temporales","boleto",17056
2022-04-12,"Abril",2022,"Sevicios Temporales","prepago",559
2022-04-12,"Abril",2022,"Sevicios Temporales","gratuidad",3951
2022-04-13,"Abril",2022,"Sevicios Temporales","boleto",16797
2022-04-13,"Abril",2022,"Sevicios Temporales","prepago",662
2022-04-13,"Abril",2022,"Sevicios Temporales","gratuidad",3892
2022-04-14,"Abril",2022,"Sevicios Temporales","boleto",11119
2022-04-14,"Abril",2022,"Sevicios Temporales","prepago",266
2022-04-14,"Abril",2022,"Sevicios Temporales","gratuidad",2574
2022-04-15,"Abril",2022,"Sevicios Temporales","boleto",8687
2022-04-15,"Abril",2022,"Sevicios Temporales","prepago",204
2022-04-15,"Abril",2022,"Sevicios Temporales","gratuidad",2013
2022-04-16,"Abril",2022,"Sevicios Temporales","boleto",11477
2022-04-16,"Abril",2022,"Sevicios Temporales","prepago",231
2022-04-16,"Abril",2022,"Sevicios Temporales","gratuidad",2656
2022-04-17,"Abril",2022,"Sevicios Temporales","boleto",9135
2022-04-17,"Abril",2022,"Sevicios Temporales","prepago",169
2022-04-17,"Abril",2022,"Sevicios Temporales","gratuidad",2117
